,구,주소,어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월
78,중구,(04516) 서울특별시 중구 새문안로 16 ,농협중앙회어린이집,A,우수,우수,우수,우수,2021.08
79,중구,(04500) 서울특별시 중구 만리동2가 만리재로21길 9 ,늘푸른어린이집,A,우수,우수,우수,우수,2023.08
80,중구,(04604) 서울특별시 중구 동호로15길 50 (신당동),다산어린이집,B,우수,우수,우수,우수,2022.12
81,중구,"(04593) 서울특별시 중구 동호로10길 30 103동 101호(신당동, 약수하이츠)",다솜어린이집,A,우수,우수,우수,우수,2021.08
82,중구,(04576) 서울특별시 중구 다산로48길 33 단우물어린이집(황학동),단우물 어린이집,A,우수,우수,우수,우수,2022.07
83,중구,(04584) 서울특별시 중구 다산로38길 80 (신당동),동화나라어린이집,A,우수,우수,우수,우수,2022.1
84,중구,(04587) 서울특별시 중구 청구로 64 청구e편한세상아파트 106동 1층,동화어린이집,A,우수,우수,우수,우수,2019.12
85,중구,"(04632) 서울특별시 중구 회현동1가 소공로 35 남산롯데캐슬아이리스 210호, 211호",롯데mom편한어린이집,A,우수,우수,우수,우수,2023.12
86,중구,(04572) 서울특별시 중구 청계천로 400 롯데캐슬베네치아아파트 103동7층관리동 (황학동),롯데캐슬어린이집,A,우수,우수,우수,우수,2023.1
87,중구,(04582) 서울특별시 중구 퇴계로90길 74 래미안하이베르아파트 관리동1층,리틀포도나무어린이집,A,우수,우수,우수,우수,2020.02
88,중구,(04502) 서울특별시 중구 중림로 10 삼성사이버빌리지 112-102,마주어린이집,C,보통,우수,보통,개선필요,2023.04
89,중구,(04500) 서울특별시 중구 만리동2가 만리재로 175 (만리동2가),만리어린이집,A,우수,우수,우수,우수,2022.06
90,중구,(04538) 서울특별시 중구 을지로2가 을지로 66 하나금융그룹 명동사옥 2층,명동하나금융그룹직장어린이집,A,우수,우수,우수,우수,2020.02
91,중구,"(04588) 서울특별시 중구 청구로1길 23 113동 103호(신당동,신당삼성아파트)",무지개어린이집,A,우수,우수,우수,우수,2022.09
92,중구,(04575) 서울특별시 중구 퇴계로 447 ,미담어린이집,A,우수,우수,우수,우수,2022.03
93,중구,"(04523) 서울특별시 중구 을지로1가 을지로 19 2,3,5층 서소문삼성어린이집",서소문삼성어린이집,A,우수,우수,우수,우수,2023.11
